"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","575","","","","0"
"1981-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","593","","","","0"
"1982-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","543","","","","0"
"1982-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","530","","","","0"
"1982-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","449","","","","0"
"1982-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","467","","","","0"
"1983-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","494","","","","0"
"1983-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","606","","","","0"
"1983-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","628","","","","0"
"1983-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","727","","","","0"
"1984-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","827","","","","0"
"1984-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","797","","","","0"
"1984-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","839","","","","0"
"1984-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","939","","","","0"
"1985-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","965","","","","0"
"1985-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1095","","","","0"
"1985-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1264","","","","0"
"1985-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1302","","","","0"
"1986-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1346","","","","0"
"1986-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1219","","","","0"
"1986-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New trucks, vans and sport utility vehicles","Dollars","81","millions","6","v62700729","1.2.1.48","1364","","","","0"
